sample_index,timestamp_sec,raw,voltage_v
120958,7.559875,-29856,0.0
120959,7.5599375,-29853,0.0
120960,7.56,-29852,0.0
120961,7.5600625,-29858,0.0
120962,7.560125,-29859,0.0
120963,7.5601875,-29857,0.0
120964,7.56025,-29858,0.0
120965,7.5603125,-29852,0.0
120966,7.560375,-29852,0.0
120967,7.5604375,-29855,0.0
120968,7.5605,-29852,0.0
120969,7.5605625,-29855,0.0
120970,7.560625,-29855,0.0
120971,7.5606875,-29855,0.0
120972,7.56075,-29853,0.0
120973,7.5608125,-29847,0.0
120974,7.560875,-29847,0.0
120975,7.5609375,-29850,0.0
120976,7.561,-29852,0.0
120977,7.5610625,-29851,0.0
120978,7.561125,-29849,0.0
120979,7.5611875,-29851,0.0
120980,7.56125,-29855,0.0
120981,7.5613125,-29850,0.0
120982,7.561375,-29848,0.0
120983,7.5614375,-29849,0.0
120984,7.5615,-29850,0.0
120985,7.5615625,-29849,0.0
120986,7.561625,-29846,0.0
120987,7.5616875,-29846,0.0
120988,7.56175,-29847,0.0
120989,7.5618125,-29855,0.0
120990,7.561875,-29857,0.0
120991,7.5619375,-29856,0.0
120992,7.562,-29854,0.0
120993,7.5620625,-29853,0.0
120994,7.562125,-29851,0.0
120995,7.5621875,-29852,0.0
120996,7.56225,-29850,0.0
120997,7.5623125,-29852,0.0
120998,7.562375,-29851,0.0
120999,7.5624375,-29853,0.0
121000,7.5625,-29852,0.0
121001,7.5625625,-29856,0.0
121002,7.562625,-29855,0.0
121003,7.5626875,-29851,0.0
121004,7.56275,-29849,0.0
121005,7.5628125,-29850,0.0
121006,7.562875,-29851,0.0
121007,7.5629375,-29851,0.0
121008,7.563,-29849,0.0
121009,7.5630625,-29853,0.0
121010,7.563125,-29858,0.0
121011,7.5631875,-29859,0.0
121012,7.56325,-29856,0.0
121013,7.5633125,-29850,0.0
121014,7.563375,-29851,0.0
121015,7.5634375,-29855,0.0
121016,7.5635,-29859,0.0
121017,7.5635625,-29855,0.0
121018,7.563625,-29855,0.0
121019,7.5636875,-29860,0.0
121020,7.56375,-29860,0.0
121021,7.5638125,-29862,0.0
121022,7.563875,-29862,0.0
121023,7.5639375,-29865,0.0
121024,7.564,-29863,0.0
121025,7.5640625,-29861,0.0
121026,7.564125,-29863,0.0
121027,7.5641875,-29860,0.0
121028,7.56425,-29860,0.0
121029,7.5643125,-29860,0.0
121030,7.564375,-29861,0.0
121031,7.5644375,-29857,0.0
121032,7.5645,-29864,0.0
121033,7.5645625,-29864,0.0
121034,7.564625,-29863,0.0
121035,7.5646875,-29864,0.0
121036,7.56475,-29861,0.0
121037,7.5648125,-29857,0.0
121038,7.564875,-29858,0.0
121039,7.5649375,-29860,0.0
121040,7.565,-29861,0.0
121041,7.5650625,-29860,0.0
121042,7.565125,-29859,0.0
121043,7.5651875,-29864,0.0
121044,7.56525,-29864,0.0
121045,7.5653125,-29866,0.0
121046,7.565375,-29860,0.0
121047,7.5654375,-29859,0.0
121048,7.5655,-29859,0.0
121049,7.5655625,-29857,0.0
121050,7.565625,-29858,0.0
121051,7.5656875,-29855,0.0
121052,7.56575,-29853,0.0
121053,7.5658125,-29855,0.0
121054,7.565875,-29853,0.0
121055,7.5659375,-29852,0.0
121056,7.566,-29853,0.0
121057,7.5660625,-29851,0.0
121058,7.566125,-29848,0.0
